Benchmark program, Rounds, Positive, Negative, Total Time(ms)
GridWorldSequence1D.json100.time ,  63, 8.000000, 2.000000, 6034.000000
GridWorldSequence1D.json10.time ,  14, 4.000000, 2.000000, 986.000000
GridWorldSequence1D.json30.time ,  28, 8.000000, 2.000000, 2125.000000
GridWorldSequence1D.json50.time ,  39, 7.000000, 2.000000, 3386.000000
GridWorldSequence1D.json.time ,  63, 8.000000, 2.000000, 6291.000000
